sim_time,frame,route_index,x,y,z,roll,pitch,yaw,speed_mps
45825.94667596527,2677721,0,20.45281219482422,13.196090698242188,0.6461000442504883,0.0,0.0,-179.84078979492188,0.9800000786781311
45826.04667596676,2677722,0,20.45281219482422,13.196090698242188,0.4941999614238739,0.0,0.0,-179.84078979492188,1.9600002765655518
45826.14667596825,2677723,0,20.45281219482422,13.196090698242188,0.24429991841316223,0.0,0.0,-179.84078979492188,2.940000295639038
45826.24667596974,2677724,0,20.45281219482422,13.196090698242188,-0.032145194709300995,0.0,0.0,-179.84078979492188,1.5274562835753644
45826.34667597123,2677725,0,20.452600479125977,13.19609260559082,-0.0695367380976677,-0.029724113643169403,0.03262781351804733,-179.84078979492188,0.1599871707823904
45826.44667597272,2677726,0,20.45252799987793,13.196121215820312,-0.04563804343342781,-0.0323486328125,0.04346049204468727,-179.84078979492188,0.25086907377884177
45826.54667597421,2677727,0,20.4526309967041,13.19612979888916,-0.024437865242362022,-0.0195617638528347,0.027184151113033295,-179.84078979492188,0.17284098457413946
45826.6466759757,2677728,0,20.45270538330078,13.196131706237793,-0.011465491726994514,-0.011383055709302425,0.01534060388803482,-179.84078979492188,0.09715278904648142
45826.74667597719,2677729,0,20.4527530670166,13.196131706237793,-0.004542998969554901,-0.006591795943677425,0.008469434455037117,-179.84078979492188,0.04964946783182598
45826.84667597868,2677730,0,20.452781677246094,13.19612979888916,-0.0011063384590670466,-0.0038452146109193563,0.004658188670873642,-179.84078979492188,0.02399905424322737
45826.94667598017,2677731,0,20.452796936035156,13.19612979888916,0.0005250930553302169,-0.0022277827374637127,0.002574981190264225,-179.84078979492188,0.011180597795059128
45827.04667598166,2677732,0,20.452804565429688,13.196127891540527,0.0012759017990902066,-0.0013122555101290345,0.001434339676052332,-179.84078979492188,0.005073392249844597
45827.14667598315,2677733,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0022572170278063602
45827.24667598464,2677734,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.34667598613,2677735,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.44667598762,2677736,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.54667598911,2677737,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.6466759906,2677738,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.74667599209,2677739,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.84667599358,2677740,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
45827.946675995074,2677741,0,20.452808380126953,13.196131706237793,0.0016139220679178834,-0.0007934569730423391,0.0008059622487053275,-179.84078979492188,0.0
