index,x,y,z,yaw
0,-64.82615661621094,24.50389862060547,0.0,0.15919755399227142
1,-63.798553466796875,24.504486083984375,0.0,-0.7448405027389526
2,-62.693565368652344,24.456562042236328,0.0,-4.221909999847412
3,-61.59351348876953,24.341711044311523,0.0,-7.698979377746582
4,-60.5024528503418,24.16035270690918,0.0,-11.17604923248291
5,-59.42439651489258,23.913156509399414,0.0,-14.653118133544922
6,-58.36332321166992,23.601032257080078,0.0,-18.13018798828125
7,-57.32312774658203,23.225130081176758,0.0,-21.607257843017578
8,-56.30764389038086,22.786832809448242,0.0,-25.084325790405273
9,-55.320621490478516,22.287755966186523,0.0,-28.5613956451416
10,-54.36567306518555,21.729732513427734,0.0,-32.03846740722656
11,-53.44633483886719,21.114822387695312,0.0,-35.515533447265625
12,-52.56597900390625,20.445283889770508,0.0,-38.99260711669922
13,-51.72785186767578,19.723587036132812,0.0,-42.46967315673828
14,-50.95553207397461,18.977115631103516,0.0,-44.899234771728516
15,-50.2471809387207,18.27125358581543,0.0,-44.899234771728516
16,-49.49954605102539,17.50987434387207,0.0,-47.09819030761719
17,-48.763771057128906,16.659128189086914,0.0,-51.191490173339844
18,-48.090599060058594,15.758028984069824,0.0,-55.284786224365234
19,-47.48346710205078,14.811179161071777,0.0,-59.378082275390625
20,-46.94546890258789,13.823406219482422,0.0,-63.47138214111328
21,-46.479347229003906,12.799750328063965,0.0,-67.56468200683594
22,-46.08749008178711,11.74543285369873,0.0,-71.65797424316406
23,-45.771888732910156,10.665834426879883,0.0,-75.75127410888672
24,-45.53415298461914,9.566461563110352,0.0,-79.8445816040039
25,-45.3754997253418,8.452923774719238,0.0,-83.93787384033203
26,-45.29673767089844,7.330901145935059,0.0,-88.03117370605469
27,-45.28885269165039,6.265798091888428,0.0,-90.1612319946289
28,-45.29166793823242,5.265802383422852,0.0,-90.1612319946289
29,-45.29447937011719,4.265806198120117,0.0,-90.1612319946289
30,-45.29729461669922,3.265810012817383,0.0,-90.1612319946289
31,-45.30010986328125,2.2658143043518066,0.0,-90.1612319946289
32,-45.302921295166016,1.2658182382583618,0.0,-90.1612319946289
33,-45.30573654174805,0.26582205295562744,0.0,-90.1612319946289
34,-45.31125259399414,-1.6943949460983276,0.0,-90.1612319946289
35,-45.31125259399414,-1.6943949460983276,0.0,-90.1612319946289
36,-45.31406784057617,-2.6943912506103516,0.0,-90.1612319946289
37,-45.31687927246094,-3.694387197494507,0.0,-90.1612319946289
38,-45.32000732421875,-4.804924488067627,0.0,-90.1612319946289
39,-45.32000732421875,-4.804924488067627,0.0,-90.1612319946289
40,-45.32282257080078,-5.804920673370361,0.0,-90.1612319946289
41,-45.32563400268555,-6.8049163818359375,0.0,-90.1612319946289
42,-45.32878112792969,-7.806997299194336,0.0,-90.22952270507812
